season,player,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pts_per_game,AllStar
2024,Jake LaRavia,3.7,1.7,0.8,0.3,1.3,10.8,0
2024,Jakob Poeltl,8.6,2.5,0.7,1.5,1.5,11.1,0
2024,Jalen Brunson,3.6,6.7,0.9,0.2,2.4,28.7,1
2024,Jalen Crutcher,0.0,0.0,0.0,0.0,0.0,0.0,0
2024,Jalen Duren,11.6,2.4,0.5,0.8,2.1,13.8,0
2024,Jalen Green,5.2,3.5,0.8,0.3,2.3,19.6,0
2024,Jalen Hood-Schifino,0.6,0.4,0.1,0.1,0.4,1.6,0
2024,Jalen Johnson,8.7,3.6,1.2,0.8,1.8,16.0,0
2024,Jalen McDaniels,1.6,0.7,0.4,0.1,0.6,3.4,0
2024,Jalen Pickett,0.5,0.8,0.1,0.0,0.3,1.6,0
2024,Jalen Slawson,0.6,0.2,0.1,0.1,0.2,0.7,0
2024,Jalen Smith,5.5,1.0,0.3,0.6,0.7,9.9,0
2024,Jalen Suggs,3.1,2.7,1.4,0.6,1.8,12.6,0
2024,Jalen Williams,4.0,4.5,1.1,0.6,1.7,19.1,0
2024,Jalen Wilson,3.0,1.0,0.3,0.1,0.4,5.0,0
2024,Jamal Cain,1.4,0.4,0.4,0.2,0.3,3.7,0
2024,Jamal Murray,4.1,6.5,1.0,0.7,2.1,21.2,0
2024,Jamaree Bouyea,2.1,1.2,0.1,0.0,1.0,2.3,0
2024,Jamaree Bouyea,1.7,1.3,0.0,0.0,1.3,1.7,0
2024,Jamaree Bouyea,3.0,1.0,0.3,0.0,0.3,3.7,0
2024,James Bouknight,0.6,0.4,0.1,0.1,0.1,3.6,0
2024,James Harden,5.1,8.5,1.1,0.8,2.6,16.6,0
2024,James Johnson,0.4,0.9,0.6,0.1,0.6,0.9,0
2024,James Wiseman,5.3,0.9,0.2,0.6,1.0,7.1,0
2024,Jarace Walker,1.9,1.2,0.5,0.3,0.5,3.6,0
2024,Jared Butler,1.5,3.2,0.7,0.2,1.3,6.3,0
2024,Jared Rhoden,1.9,0.8,0.2,0.8,0.4,4.9,0
2024,Jaren Jackson Jr.,5.5,2.3,1.2,1.6,2.4,22.5,0
2024,Jarred Vanderbilt,4.8,1.2,1.2,0.2,1.0,5.2,0
2024,Jarrett Allen,10.5,2.7,0.7,1.1,1.6,16.5,0
2024,Jason Preston,2.4,2.3,0.3,0.1,0.3,1.7,0
2024,Javon Freeman-Liberty,3.2,1.8,0.5,0.2,1.1,7.0,0
2024,Javonte Green,7.4,0.6,1.1,0.9,0.8,12.2,0
2024,Javonte Smart,0.0,0.0,0.0,0.0,0.0,0.0,0
2024,Jaxson Hayes,3.0,0.5,0.5,0.4,0.6,4.3,0
2024,Jay Huff,0.6,0.1,0.1,0.2,0.1,1.2,0
2024,Jaylen Brown,5.5,3.6,1.2,0.5,2.4,23.0,1
2024,Jaylen Nowell,1.8,1.5,0.3,0.2,0.5,6.2,0
2024,Jaylen Nowell,1.6,1.8,0.3,0.0,0.6,5.7,0
2024,Jaylen Nowell,2.5,0.8,0.3,0.5,0.5,7.5,0
2024,Jaylin Williams,3.4,1.6,0.4,0.4,0.5,4.0,0
2024,Jayson Tatum,8.1,4.9,1.0,0.6,2.5,26.9,1
2024,Jeenathan Williams,1.0,0.3,0.2,0.0,0.2,2.9,0
2024,Jeff Dowtin,1.7,2.3,0.6,0.1,0.4,4.3,0
2024,Jeff Green,2.3,0.9,0.2,0.4,0.6,6.5,0
2024,Jerami Grant,3.5,2.8,0.8,0.6,2.1,21.0,0
2024,Jeremiah Robinson-Earl,1.9,0.5,0.3,0.1,0.4,2.9,0
2024,Jeremy Sochan,6.4,3.4,0.8,0.5,1.9,11.6,0
2024,Jericho Sims,3.3,0.6,0.2,0.4,0.4,2.0,0
2024,Jermaine Samuels,0.9,0.2,0.1,0.1,0.0,1.4,0
2024,Jerome Robinson,0.3,0.2,0.0,0.1,0.1,1.4,0
2024,Jett Howard,0.4,0.3,0.1,0.1,0.2,1.6,0
2024,Jevon Carter,0.8,1.3,0.5,0.2,0.5,5.0,0
2024,Jimmy Butler,5.3,5.0,1.3,0.3,1.7,20.8,0
2024,Jock Landale,3.1,1.2,0.4,0.6,0.6,4.9,0
2024,Joe Harris,0.8,0.6,0.2,0.1,0.3,2.4,0
2024,Joe Ingles,2.1,3.0,0.6,0.1,1.0,4.4,0
2024,Joel Embiid,11.0,5.6,1.2,1.7,3.8,34.7,1
2024,John Collins,8.5,1.1,0.6,0.9,1.4,15.1,0
2024,John Konchar,4.7,2.0,0.9,0.9,0.8,4.3,0
2024,Johnny Davis,1.4,0.6,0.4,0.2,0.3,3.0,0
2024,Johnny Juzang,1.8,1.2,0.2,0.1,0.7,7.2,0
